,COMP_CODE,REF_KEY1,AC_DOC_NR,PSTNG_DATE,CREATEDON,DOC_DATE,PROFIT_CTR,PROFIT_CTR,AC_DOC_TYP,POST_KEY,POST_KEY,CREDITOR,NAME,GL_ACCOUNT,GL_ACCOUNT,CUSTOMER,POSTXT,BIC_ZUSERNAM,ZBKTXT,ZTCODE,DEB_CRE_USD,BIC_ZTERMPAY,BIC_ZTERMPAY,MATL_GROUP,ACCNT_GRPV,BIC_ZUSERNAM_BINARY,TransCount,textappend,TriggerWord,scores,anomaly
0,1003,nan_REF_KEY1,5000182043,2019-09-30,2019-09-30,2019-09-30,12262,12262,WE,81,81,10027697,MERGON INTERNATIONAL,64000101,64000101,nan_CUSTOMER,2L ALINITY BTLE VALIDATION 50%,AUTOSYS,,MB01,13445.19,24,24,nan_MATL_GROUP,Z001,SYSTEM,1,MERGON INTERNATIONAL 2L ALINITY BTLE VALIDATION 50% nan,0,0.030972566242597976,1
1,1003,EDIINV,5100010932,2020-01-17,2020-01-17,2020-01-16,12259,12259,RE,81,81,10003556,"EXPERIS US, INC.",60150101,60150101,nan_CUSTOMER,,AUTOSYS,,MR1M,1919.6,23,23,nan_MATL_GROUP,Z001,SYSTEM,154,"EXPERIS US, INC. nan nan",0,0.10410544818527678,1
2,1003,nan_REF_KEY1,5000071281,2020-04-16,2020-04-16,2020-04-16,12071,12071,WE,81,81,10033062,SERACARE LIFE SCIENCES INC,51000101,51000101,50296854,,PAWELGS,,MIGO_GR,348.0,23,23,Inventory,Z001,USER,26,SERACARE LIFE SCIENCES INC nan nan,0,0.06333292110897232,1
3,1003,UPLOAD,1900086719,2019-12-30,2019-12-30,2019-10-03,12250,12250,KR,40,40,30013196,RED WING SHOE STORE,64000101,64000101,nan_CUSTOMER,,SHARMSX116,2.02E+13,ZFII_INV_UPD_PGM,187.71,23,23,nan_MATL_GROUP,Z003,USER,1,RED WING SHOE STORE nan 2.02E+13,0,-0.16890439230963428,-1
4,1003,EDIINV,5100182522,2019-09-13,2019-09-13,2019-09-12,12250,12250,RE,81,81,10030946,HIREGENICS INC,60150101,60150101,nan_CUSTOMER,,AUTOSYS,,MR1M,1115.28,23,23,nan_MATL_GROUP,Z001,SYSTEM,106,HIREGENICS INC nan nan,0,0.12335980117094991,1
5,1003,MANUAL,5100240965,2019-12-11,2019-12-11,2019-12-10,12085,12085,RE,81,81,10003556,"EXPERIS US, INC.",60150101,60150101,nan_CUSTOMER,,KUMARSX428,,MR1M,886.56,23,23,nan_MATL_GROUP,Z001,USER,154,"EXPERIS US, INC. nan nan",0,-0.10110249080594902,-1
6,1003,EDIINV,5100013526,2020-01-22,2020-01-22,2020-01-21,12250,12250,RE,40,40,30001376,BERRY PLASTICS CORPORATION,53100802,53100802,nan_CUSTOMER,,AUTOSYS,,MR1M,44.0,17,17,nan_MATL_GROUP,Z003,SYSTEM,3,BERRY PLASTICS CORPORATION nan nan,0,-0.08110010791559497,-1
7,1003,EDIINV,5100090139,2020-05-08,2020-05-08,2020-05-08,12262,12262,RE,81,81,10020152,IS3C INC,60150101,60150101,nan_CUSTOMER,,AUTOSYS,,MR1M,2058.4,23,23,nan_MATL_GROUP,Z001,SYSTEM,10,IS3C INC nan nan,0,0.07586963232528587,1
8,1003,nan_REF_KEY1,5000184694,2020-10-01,2020-10-01,2020-10-01,12071,12071,WE,81,81,10032383,BIO RAD LABORATORIES INC,51000101,51000101,50143304,,BERGESX6,,MIGO_GR,1543.5,17,17,Inventory,Z001,USER,25,BIO RAD LABORATORIES INC nan nan,1,-0.03184296060999947,-1
9,1003,EDIINV,5100142044,2019-07-19,2019-07-19,2019-07-18,12085,12085,RE,81,81,10030946,HIREGENICS INC,60150101,60150101,nan_CUSTOMER,,AUTOSYS,,MR1M,741.44,23,23,nan_MATL_GROUP,Z001,SYSTEM,106,HIREGENICS INC nan nan,0,0.11362357341522389,1
10,1003,nan_REF_KEY1,5000127832,2020-07-09,2020-07-09,2020-07-09,12071,12071,WE,81,81,10033062,SERACARE LIFE SCIENCES INC,51000101,51000101,56172489,,PAWELGS,,MIGO_GR,127.0,23,23,Inventory,Z001,USER,26,SERACARE LIFE SCIENCES INC nan nan,0,0.06964036461624812,1
11,1003,nan_REF_KEY1,5000069744,2019-04-12,2019-04-12,2019-04-12,12084,12084,WE,81,81,10032735,SIGMA ALDRICH INC,64000101,64000101,nan_CUSTOMER,O-PHENYLENEDIAMINE DIHYDROCHLORIDE     &,AUTOSYS,,MB01,556.54,23,23,nan_MATL_GROUP,Z001,SYSTEM,24,SIGMA ALDRICH INC O-PHENYLENEDIAMINE DIHYDROCHLORIDE     & nan,1,0.013354077185645408,1
12,1003,EDIINV,5100112578,2019-06-07,2019-06-07,2019-06-06,12085,12085,RE,81,81,10003556,"EXPERIS US, INC.",60150101,60150101,nan_CUSTOMER,,AUTOSYS,,MR1M,1534.8,23,23,nan_MATL_GROUP,Z001,SYSTEM,154,"EXPERIS US, INC. nan nan",0,0.11700631395726452,1
13,1003,EDIINV,5100116807,2020-06-19,2020-06-19,2020-06-18,12260,12260,RE,81,81,10030946,HIREGENICS INC,60150101,60150101,nan_CUSTOMER,,AUTOSYS,,MR1M,1076.88,23,23,nan_MATL_GROUP,Z001,SYSTEM,106,HIREGENICS INC nan nan,0,0.12344397443555472,1
14,1000,EDIINV,5100006383,2020-03-11,2020-03-11,2020-03-11,12071,12071,RE,81,81,10034023,STAPLES ADVANTAGE,64000102,64000102,nan_CUSTOMER,,AUTOSYS,,MR1M,274.41,23,23,nan_MATL_GROUP,Z001,SYSTEM,91,STAPLES ADVANTAGE nan nan,0,0.10901951256413944,1
15,1003,EDIINV,5100117211,2020-06-20,2020-06-20,2020-06-18,12085,12085,RE,81,81,10003556,"EXPERIS US, INC.",60150101,60150101,nan_CUSTOMER,,AUTOSYS,,MR1M,230.0,23,23,nan_MATL_GROUP,Z001,SYSTEM,154,"EXPERIS US, INC. nan nan",0,0.06974249098308893,1
16,1003,EDIINV,5100037329,2019-02-23,2019-02-23,2019-02-21,12084,12084,RE,81,81,10003556,"EXPERIS US, INC.",60150101,60150101,nan_CUSTOMER,,AUTOSYS,,MR1M,1490.0,23,23,nan_MATL_GROUP,Z001,SYSTEM,154,"EXPERIS US, INC. nan nan",0,0.11536755384132114,1
17,1003,nan_REF_KEY1,5000125265,2019-07-01,2019-07-01,2019-06-28,12084,12084,WE,81,81,10003445,FISHER SCIENTIFIC COMPANY LLC,64000104,64000104,nan_CUSTOMER,IMPERIAL PROTEIN STAIN 3/PK,AUTOSYS,,MB01,274.78,23,23,nan_MATL_GROUP,Z001,SYSTEM,23,FISHER SCIENTIFIC COMPANY LLC IMPERIAL PROTEIN STAIN 3/PK nan,0,0.08654644906500342,1
18,1003,nan_REF_KEY1,5000003372,2019-01-09,2019-01-09,2019-01-09,12071,12071,WE,81,81,10032626,EMD MILLIPORE CORP,50100102,50100102,nan_CUSTOMER,BUS. HOURS COV. INCL. RO MEMB,AUTOSYS,,MB01,904.4,23,23,nan_MATL_GROUP,Z001,SYSTEM,6,EMD MILLIPORE CORP BUS. HOURS COV. INCL. RO MEMB nan,0,0.08562294338023202,1
19,1003,nan_REF_KEY1,5000060914,2020-04-02,2020-04-02,2020-04-02,12250,12250,WE,96,96,10002463,KNOX AND SCHNEIDER INC,53100101,53100101,nan_CUSTOMER,,DIAZJA5,,VL32N,-3.17,23,23,Inventory,Z001,USER,5,KNOX AND SCHNEIDER INC nan nan,0,0.07129482309999147,1
20,1003,EDIINV,5100025991,2020-02-07,2020-02-07,2020-02-07,12250,12250,RE,81,81,10034023,STAPLES ADVANTAGE,64000102,64000102,nan_CUSTOMER,,AUTOSYS,,MR1M,81.25,23,23,nan_MATL_GROUP,Z001,SYSTEM,91,STAPLES ADVANTAGE nan nan,0,0.1179201892717992,1
21,1003,nan_REF_KEY1,5000040170,2019-02-28,2019-02-28,2019-02-28,12071,12071,WE,81,81,10009414,MICROGENICS CORPORATION,51000101,51000101,50629476,,MERZSR,,MIGO_GR,3408.0,13,13,Inventory,Z001,USER,15,MICROGENICS CORPORATION nan nan,0,0.0036034691811788755,1
22,1003,nan_REF_KEY1,5000084793,2019-05-06,2019-05-06,2019-05-06,12250,12250,WE,81,81,10019484,SPECIALTY GASES OF AMERICA LLC,64000101,64000101,nan_CUSTOMER,CARBON DIOXIDE  CHEMICALLY PURE,AUTOSYS,,MB01,401.54,23,23,nan_MATL_GROUP,Z001,SYSTEM,1,SPECIALTY GASES OF AMERICA LLC CARBON DIOXIDE  CHEMICALLY PURE nan,0,0.09555087983957888,1
23,1003,nan_REF_KEY1,5000195468,2020-10-22,2020-10-22,2020-10-22,12071,12071,WE,81,81,10033062,SERACARE LIFE SCIENCES INC,51000101,51000101,50089143,,BERGESX6,,MIGO_GR,1108.0,23,23,Inventory,Z001,USER,26,SERACARE LIFE SCIENCES INC nan nan,0,0.035030264138747436,1
24,1003,EDIINV,5100024979,2020-02-06,2020-02-06,2020-02-06,12084,12084,RE,81,81,10034023,STAPLES ADVANTAGE,64000102,64000102,nan_CUSTOMER,,AUTOSYS,,MR1M,53.32,23,23,nan_MATL_GROUP,Z001,SYSTEM,91,STAPLES ADVANTAGE nan nan,0,0.12035631758648824,1
25,1003,nan_REF_KEY1,5000105977,2019-06-04,2019-06-04,2019-06-04,12085,12085,WE,81,81,10004187,VERICHEM LABORATORIES INC,64000101,64000101,nan_CUSTOMER,"MATRIX PLUS CHOLESTEROL, LEVEL F",AUTOSYS,,MB01,425.0,23,23,nan_MATL_GROUP,Z001,SYSTEM,1,"VERICHEM LABORATORIES INC MATRIX PLUS CHOLESTEROL, LEVEL F nan",1,-0.005166486131071513,-1
26,1003,EDIINV,5100042743,2019-03-02,2019-03-02,2019-02-28,12259,12259,RE,81,81,10003556,"EXPERIS US, INC.",60150101,60150101,nan_CUSTOMER,,AUTOSYS,,MR1M,1341.6,23,23,nan_MATL_GROUP,Z001,SYSTEM,154,"EXPERIS US, INC. nan nan",0,0.11522885985611275,1
27,1003,nan_REF_KEY1,5000073157,2020-04-20,2020-04-20,2020-04-20,12084,12084,WE,81,81,10020606,QSONICA LLC,64000104,64000104,nan_CUSTOMER,O-RING 853-00088,AUTOSYS,,MB01,15.94,23,23,nan_MATL_GROUP,Z001,SYSTEM,1,QSONICA LLC O-RING 853-00088 nan,0,0.08922583084012237,1
28,1003,EDIINV,5100248770,2019-12-20,2019-12-20,2019-12-19,12085,12085,RE,81,81,10194386,RANGAM CONSULTANTS INC,60150101,60150101,nan_CUSTOMER,,AUTOSYS,,MR1M,2232.4,23,23,nan_MATL_GROUP,Z001,SYSTEM,21,RANGAM CONSULTANTS INC nan nan,0,0.06985797694397572,1
29,1003,nan_REF_KEY1,5000073037,2020-04-20,2020-04-20,2020-04-20,12071,12071,WE,81,81,10033062,SERACARE LIFE SCIENCES INC,51000101,51000101,50124437,,PAWELGS,,MIGO_GR,348.0,23,23,Inventory,Z001,USER,26,SERACARE LIFE SCIENCES INC nan nan,0,0.06333292110897232,1
30,1003,nan_REF_KEY1,5000052908,2020-03-23,2020-03-23,2020-02-28,12250,12250,WE,96,96,10034350,STERIGENICS US LLC,53100101,53100101,nan_CUSTOMER,,ANDINEX1,,VL32N,-268.8,13,13,Inventory,Z001,USER,12,STERIGENICS US LLC nan nan,0,0.06435549749064284,1
